Consecutivo,id,neighbourhood_b,property_type,room_type,accommodates,bathrooms,bedrooms,beds,price,cleaning_fee,minimum_nights,availability_30,number_of_reviews,cancellation_policy,host_since,24-hour check-in,Air conditioning/central air conditioning,Amazon Echo/Apple TV/DVD player/game console/Netflix/projector and screen/smart TV (i.e. non-basic electronics),BBQ grill/fire pit/propane barbeque,Balcony/patio or balcony,Beach view/beachfront/lake access/mountain view/ski-in ski-out/waterfront (i.e. great location/views),Breakfast,Cable TV/TV,Coffee maker/espresso machine,Cooking basics,Dishwasher/Dryer/Washer/Washer and dryer,Elevator,Exercise equipment/gym/private gym/shared gym,"Family/kid friendly, or anything containing 'children'",Free parking on premises/free street parking/outdoor parking/paid parking off premises/paid parking on premises,Garden or backyard/outdoor seating/sun loungers/terrace,Host greets you,Hot tub/jetted tub/private hot tub/sauna/shared hot tub/pool/private pool/shared pool,Internet/pocket wifi/wifi,Long_term_stays_allowed,Pets allowed/cat(s)/dog(s)/pets live on this property/other pet(s),Private_entrance,Self_check-in,Smoking_allowed,"Step-free access/wheelchair accessible, or anything containing 'accessible'",Suitable_for_events,Unnamed: 27,total_paid_amount,host_days_active
1,14714,Juarez,Apartment,Private room,2,1,1,1,478,287,2,15,0,strict,11/26/2009,0,0,0,0,1,0,0,0,0,1,1,1,0,0,1,0,1,0,1,1,0,0,0,1,0,0,,765,3497
2,22787,San Rafael,Hotel,Private room,2,1,1,1,1969,0,1,20,57,strict,3/3/2010,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,,1969,3400
5,44616,Condesa,Hotel,Private room,16,9,9,1,1893,0,1,12,39,strict,8/9/2010,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,,1893,3241
6,58955,Roma Norte,Apartment,Entire home/apt,2,1.5,1,1,1625,478,3,28,39,strict,11/9/2010,0,0,0,0,1,0,0,0,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,,2103,3149
7,61792,Condesa,House,Private room,2,1,1,1,956,287,2,30,51,moderate,11/26/2010,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,,1243,3132
8,67703,Hipodromo,Apartment,Entire home/apt,4,1,2,3,1816,0,2,26,39,strict,1/4/2011,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,,1816,3093
9,70644,Coyoacan,Apartment,Entire home/apt,2,1,1,1,1051,1147,3,7,92,moderate,8/24/2010,1,0,1,0,1,0,0,1,1,1,1,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,,2198,3226
10,70737,Coyoacan,House,Entire home/apt,2,1,1,1,1128,1434,3,0,31,strict,8/24/2010,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,,2562,3226
12,98378,Escandon,House,Entire home/apt,15,6,6,9,2500,1338,2,15,138,strict,4/18/2011,1,0,0,0,1,0,0,1,1,1,1,0,0,1,1,1,1,0,1,1,0,0,0,0,1,0,,5907,2989
13,99972,San Rafael,Hotel,Private room,2,1,1,1,2500,0,1,9,0,strict,3/3/2010,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,,2753,3400
14,107078,Polanco,Apartment,Entire home/apt,2,1.5,1,1,2500,1243,4,26,8,strict,4/27/2011,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,1,1,1,0,1,0,1,0,,5353,2980
15,131610,Coyoacan,House,Private room,2,1,1,1,1568,0,1,0,0,flexible,5/31/2011,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,,1568,2946
16,165772,San Miguel Chapultepec,House,Entire home/apt,14,4.5,4,10,1051,478,2,8,255,strict,7/7/2011,1,0,0,0,1,0,0,1,1,1,1,0,0,1,1,1,0,0,1,1,1,0,1,1,1,1,,1529,2909
17,171109,Napoles,Apartment,Private room,2,1,1,1,287,0,4,29,58,strict,7/13/2011,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1,0,1,0,1,1,0,0,0,0,0,0,,287,2903
18,175504,Hipodromo,Hotel,Private room,2,1,1,1,1415,0,1,3,51,flexible,7/19/2011,1,0,0,0,1,0,1,1,1,1,0,0,0,1,1,1,0,0,1,1,1,0,0,1,0,0,,1415,2897
19,180808,Juarez,Apartment,Entire home/apt,2,1.5,1,1,1032,669,3,0,34,strict,9/7/2009,1,0,0,0,0,0,0,1,1,1,0,1,0,1,1,0,1,0,1,1,0,0,0,0,0,0,,1701,3577
20,187030,Condesa,Apartment,Entire home/apt,6,1,2,3,1625,0,4,23,91,moderate,7/31/2011,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,1,0,1,1,0,0,0,0,0,0,,1625,2885
21,187745,Condesa,Apartment,Entire home/apt,4,2,1,1,1816,0,2,29,24,strict,7/31/2011,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,,1816,2885
22,194937,Condesa,Apartment,Entire home/apt,3,1,1,1,1625,0,2,15,53,moderate,7/31/2011,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,,1625,2885
23,198778,Condesa,Apartment,Entire home/apt,4,1,2,2,918,478,2,0,160,strict,8/14/2011,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,1,1,1,0,0,0,0,,1396,2871
24,204887,Escandon,Apartment,Entire home/apt,2,1,1,1,803,300,3,28,23,moderate,8/20/2011,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,,1103,2865
25,216833,Hipodromo,Apartment,Entire home/apt,4,2.5,2,2,1300,0,5,29,1,flexible,9/6/2011,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,1,1,0,0,0,0,1,0,,1300,2848
26,217685,Hipodromo,Apartment,Entire home/apt,2,1,1,1,956,0,6,0,2,flexible,7/29/2010,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,1,0,1,1,0,0,0,0,0,0,,956,3252
27,245507,Juarez,Apartment,Entire home/apt,3,1,1,1,1319,382,1,0,250,strict,10/13/2011,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,,1701,2811
28,246057,Juarez,Apartment,Entire home/apt,5,2,2,4,1434,287,1,30,230,strict,10/13/2011,0,0,0,0,1,0,0,1,1,1,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,,1721,2811
29,247543,Centro Historico,Apartment,Private room,1,1,1,1,574,191,3,1,79,strict,10/16/2011,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0,0,0,,765,2808
30,252618,Roma Norte,Apartment,Private room,2,1,1,2,325,400,5,0,16,strict,10/23/2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,,725,2801
32,256555,San Miguel Chapultepec,House,Entire home/apt,14,4.5,4,10,1051,478,2,8,236,strict,7/7/2011,1,0,0,0,1,0,0,1,1,1,1,0,0,1,1,1,0,0,1,1,1,0,1,1,1,1,,1529,2909
33,261897,Roma Norte,Apartment,Entire home/apt,3,1,1,2,1185,574,2,11,322,moderate,11/5/2011,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,1,1,0,0,1,1,0,0,,1759,2788
34,271048,Anzures,Apartment,Entire home/apt,2,2,2,1,1740,0,5,0,13,strict,11/17/2011,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,,1740,2776
36,281134,Condesa,Apartment,Entire home/apt,3,1,1,1,2500,0,1,25,6,strict,8/9/2010,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,,2753,3241
37,287015,Roma Norte,Apartment,Private room,2,1,1,1,2500,0,7,29,3,strict,9/10/2011,0,0,0,0,0,0,1,1,1,1,1,1,0,1,1,0,1,0,1,1,0,1,0,0,1,0,,4779,2844
38,287940,Condesa,Apartment,Entire home/apt,2,1,1,1,956,0,1,12,257,flexible,12/12/2011,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,1,1,1,0,0,1,0,0,,956,2751
39,291804,Portales,Apartment,Private room,1,1,1,1,574,0,2,30,0,flexible,12/16/2011,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,,574,2747
40,298873,Centro Historico,Apartment,Entire home/apt,4,2,2,2,1816,0,3,4,118,moderate,12/27/2011,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,1,0,,1816,2736
41,323030,Condesa,Apartment,Entire home/apt,4,1,2,3,918,478,2,0,175,strict,8/14/2011,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,,1396,2871
43,325812,Centro Historico,Apartment,Private room,2,1,1,2,650,363,3,23,102,flexible,1/28/2012,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,,1013,2704
44,326296,Florida,House,Private room,2,1.5,1,1,382,0,2,3,153,moderate,1/28/2012,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,1,0,1,0,1,0,0,0,0,0,,382,2704
45,326475,Roma Norte,House,Private room,2,1,1,1,650,0,1,12,69,strict,1/29/2012,0,0,0,0,1,0,0,1,1,1,1,0,0,0,1,1,1,0,1,1,0,0,0,1,0,0,,650,2703
48,329532,Vista Alegre,House,Private room,2,1,1,2,382,0,22,23,0,strict,2/1/2012,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,,382,2700
50,331788,Roma Norte,Apartment,Entire home/apt,2,1,1,1,1472,382,3,19,305,strict,2/2/2012,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,,1854,2699
51,341479,Nonalco,Apartment,Entire home/apt,3,2,2,2,516,0,1,0,0,flexible,2/10/2012,1,0,0,0,0,0,0,1,0,0,1,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,,516,2691
54,350079,Roma Sur,Apartment,Private room,1,1,1,1,1051,229,5,30,0,strict,2/19/2012,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,,1280,2682
56,361316,Escandon,House,Private room,2,1,1,1,382,191,2,29,0,moderate,12/21/2011,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,,573,2742
57,362583,Cuauhtemoc,Apartment,Entire home/apt,4,2,2,2,1510,478,2,17,17,moderate,2/29/2012,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,,1988,2672
59,375032,Hipodromo,Hotel,Private room,16,6,6,13,1357,0,1,30,43,strict,3/8/2012,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,1357,2664
61,382904,Insurgentes,Apartment,Shared room,1,1,1,1,956,0,1,30,0,flexible,3/13/2012,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,,956,2659
62,386265,Coyoacan,Apartment,Private room,2,1,1,1,268,261,3,6,8,moderate,3/16/2012,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,1,1,0,0,0,0,1,0,,529,2656
63,393788,Roma Sur,Apartment,Private room,1,1,1,1,535,300,3,29,2,moderate,3/15/2012,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,835,2657
64,394589,Cuauhtemoc,Apartment,Private room,1,1,1,1,344,350,7,1,19,strict,8/6/2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,0,0,0,0,0,,694,2879
65,395446,Condesa,Apartment,Entire home/apt,3,1,1,1,1969,0,5,0,12,strict,7/31/2011,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,,1969,2885
66,397408,Polanco,Apartment,Entire home/apt,3,1,2,2,918,229,2,27,143,moderate,3/18/2012,1,0,0,0,0,0,0,1,1,1,1,0,0,1,0,0,1,0,1,1,1,0,0,0,0,0,,1147,2654
67,400047,Hipodromo,House,Entire home/apt,2,1,1,1,1434,382,1,0,8,strict,3/11/2012,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,1816,2661
68,400048,Hipodromo,House,Private room,2,1,1,1,956,287,1,30,0,strict,3/11/2012,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,,1243,2661
69,419110,Condesa,Apartment,Private room,2,1,1,1,535,96,3,17,52,moderate,4/6/2012,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,,631,2635
70,421607,Narvarte,Apartment,Private room,2,1.5,1,3,306,0,5,30,16,moderate,9/28/2011,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,1,0,1,,306,2826
71,422159,Postal,Apartment,Private room,2,1,1,1,421,200,3,0,7,flexible,4/9/2012,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,1,1,0,1,0,1,0,0,0,0,0,,621,2632
73,450938,Atlampa,House,Private room,2,1.5,1,2,956,0,1,30,0,flexible,4/27/2012,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,1,0,1,,956,2614
75,454693,Hipodromo,Apartment,Entire home/apt,4,1.5,1,2,1147,918,1,0,195,strict,1/12/2012,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,,2065,2720
76,456409,Polanco,Apartment,Private room,1,1,1,1,191,0,2,0,44,strict,5/1/2012,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,,191,2610
77,456461,Anzures,Apartment,Shared room,1,0.5,1,1,325,0,2,0,61,strict,5/1/2012,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,,325,2610
79,458808,Juarez,Apartment,Entire home/apt,2,1,1,2,860,0,7,3,6,flexible,5/3/2012,0,0,0,0,0,0,0,1,0,1,1,1,0,1,0,0,0,0,1,0,0,0,1,1,0,0,,860,2608
80,480752,Condesa,Apartment,Entire home/apt,4,1,2,3,1682,1051,2,14,158,moderate,3/14/2012,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,0,1,0,1,0,0,0,0,0,1,0,,2733,2658
81,486913,San Rafael,Apartment,Entire home/apt,3,1,1,1,650,400,2,0,11,strict,5/18/2012,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,0,1,1,0,0,0,0,1,0,,1050,2593
82,489774,Polanco,Apartment,Entire home/apt,6,2,2,3,1338,765,4,13,38,strict,5/19/2012,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,1,0,,2103,2592
84,499553,Centro Historico,Apartment,Entire home/apt,7,3.5,4,6,2500,0,3,0,22,strict,10/16/2011,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,0,0,1,1,0,0,0,1,0,1,0,,7264,2808
85,499676,Centro Historico,House,Entire home/apt,6,2.5,3,5,2500,0,3,1,2,strict,10/16/2011,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1,0,0,1,1,0,0,0,1,0,1,0,,6691,2808
88,527473,Roma Norte,Apartment,Entire home/apt,4,1,2,3,2466,382,1,10,119,strict,7/5/2010,0,0,0,0,1,0,0,0,1,1,1,0,0,1,1,0,0,0,1,1,0,0,1,0,1,0,,2848,3276
89,544105,Polanco,Apartment,Private room,2,1,1,1,574,344,2,20,14,flexible,6/18/2012,0,0,0,0,0,1,0,1,0,1,1,1,1,0,1,0,0,1,1,1,0,0,1,0,1,0,,918,2562
90,550908,Coyoacan,Apartment,Entire home/apt,2,1,1,1,1147,400,3,28,0,flexible,6/21/2012,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,1,1,0,1,0,1,0,0,,1547,2559
91,552666,Centro Historico,Apartment,Entire home/apt,2,1,1,1,1243,478,5,11,63,strict,6/22/2012,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,1,0,1,1,0,0,0,1,0,0,,1721,2558
92,555663,Juarez,Apartment,Entire home/apt,2,2,2,1,1701,300,1,30,11,flexible,6/24/2012,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1,0,1,0,1,0,1,0,0,1,1,1,,2001,2556
93,561743,Condesa,Apartment,Entire home/apt,4,1,1,1,1204,200,1,0,2,strict,6/27/2012,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,,1404,2553
94,567176,Santa Maria la Rbera,Apartment,Private room,1,1,1,1,191,150,7,27,21,moderate,5/10/2012,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,341,2601
95,571166,Condesa,Apartment,Entire home/apt,3,1,1,1,2500,0,1,25,1,strict,8/9/2010,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,,2504,3241
96,579534,Roma Norte,Apartment,Private room,2,1,1,2,401,400,5,0,8,strict,10/23/2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,,801,2801
97,583039,Centro Historico,House,Entire home/apt,4,2,2,2,1644,554,3,6,42,strict,7/8/2012,1,1,0,0,0,0,0,1,0,0,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,,2198,2542
98,587677,Campestre,House,Private room,2,1,1,2,669,382,1,0,0,moderate,3/19/2012,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,,1051,2653
100,608312,Hipodromo,House,Private room,2,1.5,1,1,1109,478,2,0,28,moderate,3/19/2012,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,,1587,2653
102,610914,Centro Historico,House,Entire home/apt,4,1.5,2,3,2500,0,2,1,1,strict,10/16/2011,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,0,0,1,1,0,0,0,1,0,1,0,,4779,2808
103,611179,Centro Historico,House,Entire home/apt,2,1.5,1,2,2500,0,3,1,1,strict,10/16/2011,0,0,0,0,1,0,1,1,1,1,1,1,1,0,1,0,0,1,1,0,0,0,1,0,1,0,,4206,2808
104,611337,Centro Historico,House,Entire home/apt,4,2.5,2,4,2500,0,3,1,4,strict,10/16/2011,1,0,0,0,0,0,1,1,0,0,1,1,0,0,1,0,0,1,1,1,0,0,1,0,1,0,,5735,2808
105,613181,Centro Historico,Apartment,Entire home/apt,4,1,2,3,1893,172,3,18,159,strict,7/24/2012,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,1,1,1,0,1,1,0,0,,2065,2526
106,617137,Santa Maria la Rbera,Apartment,Shared room,2,1.5,1,1,1912,0,1,30,0,flexible,7/26/2012,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,,1912,2524
107,618711,Anzures,Apartment,Shared room,1,1,1,1,191,0,2,0,60,strict,5/1/2012,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,191,2610
108,628081,Roma Norte,Apartment,Entire home/apt,3,1,1,1,1644,421,3,14,204,moderate,7/19/2012,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,1,0,0,1,1,0,0,1,1,0,0,,2065,2531
109,635324,Campestre,Apartment,Entire home/apt,2,1,1,1,765,0,1,11,130,flexible,10/17/2010,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,,765,3172
110,640803,Campestre,House,Entire home/apt,5,2.5,2,2,2500,765,4,27,22,strict,8/8/2012,1,0,0,0,0,0,0,1,1,1,1,0,0,1,1,0,1,0,1,0,1,0,0,1,0,0,,7035,2511
111,642797,San Miguel Chapultepec,Apartment,Entire home/apt,8,2.5,3,3,2500,0,2,21,79,strict,8/3/2012,1,0,0,0,0,0,0,1,0,0,1,1,0,1,1,0,0,0,1,1,1,0,0,1,0,0,,7628,2516
112,650092,San Rafael,Apartment,Private room,4,1.5,1,4,440,860,7,28,10,strict,8/15/2012,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,,1300,2504
113,654040,Anzures,Apartment,Private room,1,1,1,1,554,0,3,0,1,flexible,8/17/2012,0,0,0,1,1,0,0,1,1,1,1,1,1,0,0,1,0,0,1,1,0,0,0,0,1,0,,554,2502
114,654106,Anzures,Apartment,Private room,1,1,1,1,554,0,5,0,1,strict,8/17/2012,0,0,0,1,1,0,0,1,1,1,1,1,1,1,0,1,0,0,1,0,0,0,0,0,1,0,,554,2502
117,674320,Hipodromo,Apartment,Entire home/apt,5,2,2,2,2275,478,1,24,180,moderate,12/1/2011,0,0,0,0,1,0,0,1,1,1,1,1,0,1,1,0,1,0,1,1,0,0,0,0,1,0,,2753,2762
118,691019,Centro Historico,Apartment,Entire home/apt,6,2,2,2,1625,574,2,12,208,strict,9/10/2012,0,1,0,0,0,0,0,1,0,0,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,,2199,2478
119,696031,Anzures,Apartment,Entire home/apt,4,1,2,3,937,478,2,0,141,strict,9/10/2012,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,,1415,2478
120,696037,Anzures,Apartment,Entire home/apt,6,2,3,3,1491,574,24,0,35,strict,9/10/2012,1,1,0,0,1,0,0,1,1,1,1,1,0,1,1,0,1,0,1,1,0,0,0,0,1,0,,2065,2478
121,697933,Escandon,House,Entire home/apt,2,1,1,1,937,249,3,10,34,moderate,4/18/2011,1,0,0,0,1,0,0,1,1,1,1,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,,1186,2989
122,704761,Escandon,House,Entire home/apt,2,1,1,1,937,249,3,10,29,moderate,4/18/2011,1,0,0,0,1,0,0,1,1,1,1,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,,1186,2989
123,704779,Centro Historico,House,Entire home/apt,3,1,1,1,1166,459,3,17,9,moderate,7/8/2012,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,0,0,1,1,0,0,0,0,0,1,0,,1625,2542
124,714392,Polanco,Apartment,Entire home/apt,2,1,1,1,669,395,3,26,66,moderate,9/5/2012,0,0,0,0,0,0,0,1,1,1,0,1,0,1,1,0,1,0,1,1,1,0,0,0,0,0,,1064,2483
125,717874,Condesa,Apartment,Private room,1,1,1,1,1338,0,1,30,0,flexible,9/28/2012,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,1338,2460
126,728372,Guerrero,House,Entire home/apt,16,5.5,10,16,2500,0,1,7,99,strict,10/6/2012,0,0,0,0,1,0,0,1,1,1,1,0,0,1,1,1,1,0,1,0,0,1,0,1,0,0,,3231,2452
127,729898,Hipodromo,Apartment,Entire home/apt,3,1,1,1,1721,382,1,0,238,strict,10/13/2011,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,2103,2811
128,736107,Roma Norte,Apartment,Entire home/apt,4,1,2,2,1109,287,3,1,252,moderate,10/8/2012,1,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,1,0,1,0,1,0,0,0,,1396,2450
129,737328,Cuauhtemoc,Apartment,Entire home/apt,2,1,1,1,1051,0,3,17,14,moderate,10/12/2012,1,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,1,0,1,1,0,0,0,1,0,0,,1051,2446
130,741557,Cuauhtemoc,Apartment,Entire home/apt,2,1,1,1,1051,0,5,0,6,moderate,10/12/2012,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,,1051,2446
131,741564,Roma Sur,House,Private room,2,2,1,1,287,0,4,0,82,strict,10/15/2012,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,1,0,0,,287,2443
133,757338,Coyoacan,House,Private room,10,3,5,5,2500,0,3,25,26,moderate,10/27/2012,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,1,0,0,1,0,1,0,0,0,0,1,,3059,2431
134,758602,Insurgentes,Apartment,Private room,1,2,1,1,707,0,1,27,0,moderate,10/28/2012,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,1,0,1,0,0,1,0,0,,707,2430
135,760912,Roma Sur,Apartment,Private room,2,1.5,1,1,765,0,1,28,5,flexible,10/9/2012,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,765,2449
136,773150,Coyoacan,House,Entire home/apt,3,1,2,2,860,0,3,0,12,moderate,11/6/2012,0,0,0,0,1,0,0,1,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,1,1,0,,860,2421
138,783609,Centro Historico,Apartment,Entire home/apt,5,1,1,3,1797,0,3,12,53,flexible,11/12/2012,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,1,0,1,1,0,0,0,0,1,0,,1797,2415
139,796477,Condesa,Apartment,Private room,2,1,1,1,516,0,2,26,123,moderate,11/19/2012,0,0,0,0,1,0,0,1,1,1,1,0,0,1,1,0,1,0,1,0,1,0,0,1,0,0,,516,2408
140,811088,Condesa,Apartment,Entire home/apt,4,1,2,2,1243,382,4,6,11,moderate,2/1/2010,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,1,0,0,0,0,0,0,,1625,3430
141,822005,Escandon,Apartment,Entire home/apt,6,1,1,1,1090,860,4,0,45,strict,12/3/2012,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,,1950,2394
142,824016,Hipodromo,Apartment,Entire home/apt,2,1,1,1,898,280,4,1,45,moderate,12/4/2012,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,1,1,0,0,1,1,0,0,,1178,2393
143,826691,Hipodromo,Apartment,Entire home/apt,2,1,1,1,803,250,3,0,18,moderate,12/4/2012,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,1,0,1,1,0,0,0,1,0,0,,1053,2393
144,826760,Hipodromo,Apartment,Entire home/apt,4,1,2,2,994,300,4,0,14,strict,12/4/2012,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,1,1,0,0,0,1,0,0,,1294,2393
145,828714,Coyoacan,Apartment,Entire home/apt,4,1,2,2,1434,344,1,0,25,flexible,12/6/2012,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1,0,1,0,1,1,1,0,0,1,1,1,,1778,2391
146,832805,Guerrero,House,Entire home/apt,16,5.5,10,16,2500,0,1,6,118,strict,10/6/2012,0,0,0,0,1,0,0,1,1,1,1,0,0,0,1,1,1,0,1,0,0,0,0,1,0,0,,3231,2452
147,840176,San Miguel Chapultepec,Apartment,Private room,2,2,1,3,306,300,1,30,0,flexible,7/4/2012,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,1,,606,2546
