Consecutivo,id,neighbourhood_b,property_type,room_type,accommodates,bathrooms,bedrooms,beds,price,cleaning_fee,minimum_nights,availability_30,number_of_reviews,cancellation_policy,host_since,24-hour check-in,Air conditioning/central air conditioning,Amazon Echo/Apple TV/DVD player/game console/Netflix/projector and screen/smart TV (i.e. non-basic electronics),BBQ grill/fire pit/propane barbeque,Balcony/patio or balcony,Beach view/beachfront/lake access/mountain view/ski-in ski-out/waterfront (i.e. great location/views),Breakfast,Cable TV/TV,Coffee maker/espresso machine,Cooking basics,Dishwasher/Dryer/Washer/Washer and dryer,Elevator,Exercise equipment/gym/private gym/shared gym,"Family/kid friendly, or anything containing 'children'",Free parking on premises/free street parking/outdoor parking/paid parking off premises/paid parking on premises,Garden or backyard/outdoor seating/sun loungers/terrace,Host greets you,Hot tub/jetted tub/private hot tub/sauna/shared hot tub/pool/private pool/shared pool,Internet/pocket wifi/wifi,Long_term_stays_allowed,Pets allowed/cat(s)/dog(s)/pets live on this property/other pet(s),Private_entrance,Self_check-in,Smoking_allowed,"Step-free access/wheelchair accessible, or anything containing 'accessible'",Suitable_for_events,Unnamed: 27,total_paid_amount,host_days_active
13833,30766498,Polanco,Hotel,Private room,2,1,1,1,1912,0,1,30,0,strict,12/11/2018,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,1912,195
13834,30766600,Polanco,Hotel,Private room,2,1,1,1,1912,0,1,29,0,strict,12/11/2018,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,1912,195
13835,30768613,Roma Norte,Apartment,Private room,1,1.5,2,3,784,0,3,10,10,flexible,5/3/2017,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,1,1,0,1,0,0,1,0,,784,782
13837,30771124,Ninos Heroes,Apartment,Entire home/apt,5,1,2,3,803,400,2,2,6,strict,6/27/2017,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,,1203,727
13838,30771603,Portales,Apartment,Private room,2,1,1,1,593,250,2,0,6,flexible,9/30/2018,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1,0,1,0,1,1,0,1,0,0,1,0,,843,267
13839,30771837,Roma Norte,Apartment,Entire home/apt,4,2,2,2,1109,400,2,15,29,moderate,1/17/2018,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,,1509,523
13840,30771926,Atlampa,House,Private room,2,1,1,1,401,0,3,0,0,flexible,10/26/2018,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1,0,1,1,1,1,0,0,0,0,0,0,,401,241
13841,30772890,Ciudad de Los Deportes,Apartment,Entire home/apt,2,2.5,1,1,1204,300,3,30,4,moderate,3/19/2013,0,0,0,0,1,0,0,1,1,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,,1504,2288
13843,30777989,Polanco,Apartment,Entire home/apt,4,2,2,2,1357,400,2,12,13,strict,9/6/2016,0,0,0,1,0,0,0,1,1,1,1,1,1,0,1,1,0,0,1,0,0,1,0,0,0,0,,1757,1021
13844,30787453,Nonalco,Apartment,Entire home/apt,4,2,2,2,841,200,2,0,5,strict,9/25/2013,0,0,0,1,1,0,0,1,1,1,0,1,1,0,0,1,0,1,1,1,0,1,1,0,0,1,,1041,2098
